"race","driver","team","series","session","sec","year","circuit","perim"
"2017australia","agiovinazzi","sauber","f1",1,86.419,2017,"melbourne",5303
"2017australia","csainz","toro rosso","f1",1,85.542,2017,"melbourne",5303
"2017australia","dkvyat","toro rosso","f1",1,85.97,2017,"melbourne",5303
"2017australia","dricciardo","red bull","f1",1,85.383,2017,"melbourne",5303
"2017australia","eocon","force india","f1",1,86.009,2017,"melbourne",5303
"2017australia","falonso","mclaren","f1",1,85.872,2017,"melbourne",5303
"2017australia","fmassa","williams","f1",1,85.099,2017,"melbourne",5303
"2017australia","jpalmer","renault","f1",1,88.244,2017,"melbourne",5303
"2017australia","kmagnussen","haas","f1",1,86.847,2017,"melbourne",5303
"2017australia","kraikkonen","ferrari","f1",1,84.352,2017,"melbourne",5303
"2017australia","lhamilton","mercedes f1","f1",1,84.191,2017,"melbourne",5303
"2017australia","lstroll","williams","f1",1,87.143,2017,"melbourne",5303
"2017australia","mericsson","sauber","f1",1,86.236,2017,"melbourne",5303
"2017australia","mverstappen","red bull","f1",1,84.482,2017,"melbourne",5303
"2017australia","nhulkenberg","renault","f1",1,84.975,2017,"melbourne",5303
"2017australia","rgrosjean","haas","f1",1,85.419,2017,"melbourne",5303
"2017australia","sperez","force india","f1",1,85.064,2017,"melbourne",5303
"2017australia","svandoorne","mclaren","f1",1,86.858,2017,"melbourne",5303
"2017australia","svettel","ferrari","f1",1,85.21,2017,"melbourne",5303
"2017australia","vbottas","mercedes f1","f1",1,84.514,2017,"melbourne",5303
"2017australia","csainz","toro rosso","f1",2,84.997,2017,"melbourne",5303
"2017australia","dkvyat","toro rosso","f1",2,84.864,2017,"melbourne",5303
"2017australia","dricciardo","red bull","f1",2,83.989,2017,"melbourne",5303
"2017australia","eocon","force india","f1",2,85.568,2017,"melbourne",5303
"2017australia","falonso","mclaren","f1",2,85.425,2017,"melbourne",5303
"2017australia","fmassa","williams","f1",2,84.597,2017,"melbourne",5303
"2017australia","kraikkonen","ferrari","f1",2,83.376,2017,"melbourne",5303
"2017australia","lhamilton","mercedes f1","f1",2,83.251,2017,"melbourne",5303
"2017australia","mericsson","sauber","f1",2,86.465,2017,"melbourne",5303
"2017australia","mverstappen","red bull","f1",2,84.092,2017,"melbourne",5303
"2017australia","nhulkenberg","renault","f1",2,85.091,2017,"melbourne",5303
"2017australia","rgrosjean","haas","f1",2,84.718,2017,"melbourne",5303
"2017australia","sperez","force india","f1",2,85.081,2017,"melbourne",5303
"2017australia","svettel","ferrari","f1",2,83.401,2017,"melbourne",5303
"2017australia","vbottas","mercedes f1","f1",2,83.215,2017,"melbourne",5303
"2017australia","csainz","toro rosso","f1",3,84.487,2017,"melbourne",5303
"2017australia","dkvyat","toro rosso","f1",3,84.512,2017,"melbourne",5303
"2017australia","fmassa","williams","f1",3,84.443,2017,"melbourne",5303
"2017australia","kraikkonen","ferrari","f1",3,83.033,2017,"melbourne",5303
"2017australia","lhamilton","mercedes f1","f1",3,82.188,2017,"melbourne",5303
"2017australia","mverstappen","red bull","f1",3,83.485,2017,"melbourne",5303
"2017australia","rgrosjean","haas","f1",3,84.074,2017,"melbourne",5303
"2017australia","svettel","ferrari","f1",3,82.456,2017,"melbourne",5303
"2017australia","vbottas","mercedes f1","f1",3,82.481,2017,"melbourne",5303
"2017china","agiovinazzi","sauber","f1",1,94.963,2017,"shanghai",5451
"2017china","csainz","toro rosso","f1",1,94.567,2017,"shanghai",5451
"2017china","dkvyat","toro rosso","f1",1,94.44,2017,"shanghai",5451
"2017china","dricciardo","red bull","f1",1,94.041,2017,"shanghai",5451
"2017china","eocon","force india","f1",1,95.496,2017,"shanghai",5451
"2017china","falonso","mclaren","f1",1,94.499,2017,"shanghai",5451
"2017china","fmassa","williams","f1",1,94.205,2017,"shanghai",5451
"2017china","jpalmer","renault","f1",1,95.279,2017,"shanghai",5451
"2017china","kmagnussen","haas","f1",1,94.942,2017,"shanghai",5451
"2017china","kraikkonen","ferrari","f1",1,93.341,2017,"shanghai",5451
"2017china","lhamilton","mercedes f1","f1",1,93.333,2017,"shanghai",5451
"2017china","lstroll","williams","f1",1,93.986,2017,"shanghai",5451
"2017china","mericsson","sauber","f1",1,94.892,2017,"shanghai",5451
"2017china","mverstappen","red bull","f1",1,95.433,2017,"shanghai",5451
"2017china","nhulkenberg","renault","f1",1,94.453,2017,"shanghai",5451
"2017china","rgrosjean","haas","f1",1,95.223,2017,"shanghai",5451
"2017china","sperez","force india","f1",1,94.657,2017,"shanghai",5451
"2017china","svandoorne","mclaren","f1",1,95.023,2017,"shanghai",5451
"2017china","svettel","ferrari","f1",1,93.078,2017,"shanghai",5451
"2017china","vbottas","mercedes f1","f1",1,93.684,2017,"shanghai",5451
"2017china","csainz","toro rosso","f1",2,94.15,2017,"shanghai",5451
"2017china","dkvyat","toro rosso","f1",2,94.034,2017,"shanghai",5451
"2017china","dricciardo","red bull","f1",2,93.546,2017,"shanghai",5451
"2017china","falonso","mclaren","f1",2,94.372,2017,"shanghai",5451
"2017china","fmassa","williams","f1",2,93.759,2017,"shanghai",5451
"2017china","kmagnussen","haas","f1",2,94.164,2017,"shanghai",5451
"2017china","kraikkonen","ferrari","f1",2,92.181,2017,"shanghai",5451
"2017china","lhamilton","mercedes f1","f1",2,92.406,2017,"shanghai",5451
"2017china","lstroll","williams","f1",2,94.09,2017,"shanghai",5451
"2017china","mericsson","sauber","f1",2,95.046,2017,"shanghai",5451
"2017china","nhulkenberg","renault","f1",2,93.636,2017,"shanghai",5451
"2017china","sperez","force india","f1",2,93.92,2017,"shanghai",5451
"2017china","svettel","ferrari","f1",2,92.391,2017,"shanghai",5451
"2017china","vbottas","mercedes f1","f1",2,92.552,2017,"shanghai",5451
"2017china","dkvyat","toro rosso","f1",3,93.719,2017,"shanghai",5451
"2017china","dricciardo","red bull","f1",3,93.033,2017,"shanghai",5451
"2017china","fmassa","williams","f1",3,93.507,2017,"shanghai",5451
"2017china","kraikkonen","ferrari","f1",3,92.14,2017,"shanghai",5451
"2017china","lhamilton","mercedes f1","f1",3,91.678,2017,"shanghai",5451
"2017china","lstroll","williams","f1",3,94.22,2017,"shanghai",5451
"2017china","nhulkenberg","renault","f1",3,93.58,2017,"shanghai",5451
"2017china","sperez","force india","f1",3,93.706,2017,"shanghai",5451
"2017china","svettel","ferrari","f1",3,91.864,2017,"shanghai",5451
"2017china","vbottas","mercedes f1","f1",3,91.865,2017,"shanghai",5451
"2017bahrain","csainz","toro rosso","f1",1,92.118,2017,"bahrain",5412
"2017bahrain","dkvyat","toro rosso","f1",1,91.531,2017,"bahrain",5412
"2017bahrain","dricciardo","red bull","f1",1,91.667,2017,"bahrain",5412
"2017bahrain","eocon","force india","f1",1,91.774,2017,"bahrain",5412
"2017bahrain","falonso","mclaren","f1",1,92.054,2017,"bahrain",5412
"2017bahrain","fmassa","williams","f1",1,91.373,2017,"bahrain",5412
"2017bahrain","jpalmer","renault","f1",1,91.458,2017,"bahrain",5412
"2017bahrain","kmagnussen","haas","f1",1,92.9,2017,"bahrain",5412
"2017bahrain","kraikkonen","ferrari","f1",1,90.988,2017,"bahrain",5412
"2017bahrain","lhamilton","mercedes f1","f1",1,90.814,2017,"bahrain",5412
"2017bahrain","lstroll","williams","f1",1,91.748,2017,"bahrain",5412
"2017bahrain","mericsson","sauber","f1",1,92.543,2017,"bahrain",5412
"2017bahrain","mverstappen","red bull","f1",1,90.904,2017,"bahrain",5412
"2017bahrain","nhulkenberg","renault","f1",1,91.057,2017,"bahrain",5412
"2017bahrain","pwehrlein","sauber","f1",1,91.995,2017,"bahrain",5412
"2017bahrain","rgrosjean","haas","f1",1,91.691,2017,"bahrain",5412
"2017bahrain","sperez","force india","f1",1,92.318,2017,"bahrain",5412
"2017bahrain","svandoorne","mclaren","f1",1,92.313,2017,"bahrain",5412
"2017bahrain","svettel","ferrari","f1",1,91.037,2017,"bahrain",5412
"2017bahrain","vbottas","mercedes f1","f1",1,91.041,2017,"bahrain",5412
"2017bahrain","dkvyat","toro rosso","f1",2,90.923,2017,"bahrain",5412
"2017bahrain","dricciardo","red bull","f1",2,90.497,2017,"bahrain",5412
"2017bahrain","eocon","force india","f1",2,91.684,2017,"bahrain",5412
"2017bahrain","fmassa","williams","f1",2,90.677,2017,"bahrain",5412
"2017bahrain","jpalmer","renault","f1",2,90.899,2017,"bahrain",5412
"2017bahrain","kraikkonen","ferrari","f1",2,89.843,2017,"bahrain",5412
"2017bahrain","lhamilton","mercedes f1","f1",2,89.535,2017,"bahrain",5412
"2017bahrain","lstroll","williams","f1",2,91.168,2017,"bahrain",5412
"2017bahrain","mverstappen","red bull","f1",2,90.307,2017,"bahrain",5412
"2017bahrain","nhulkenberg","renault","f1",2,90.169,2017,"bahrain",5412
"2017bahrain","pwehrlein","sauber","f1",2,91.414,2017,"bahrain",5412
"2017bahrain","rgrosjean","haas","f1",2,90.857,2017,"bahrain",5412
"2017bahrain","svettel","ferrari","f1",2,89.596,2017,"bahrain",5412
"2017bahrain","vbottas","mercedes f1","f1",2,89.555,2017,"bahrain",5412
"2017bahrain","dricciardo","red bull","f1",3,89.545,2017,"bahrain",5412
"2017bahrain","fmassa","williams","f1",3,90.074,2017,"bahrain",5412
"2017bahrain","jpalmer","renault","f1",3,91.074,2017,"bahrain",5412
"2017bahrain","kraikkonen","ferrari","f1",3,89.567,2017,"bahrain",5412
"2017bahrain","lhamilton","mercedes f1","f1",3,88.792,2017,"bahrain",5412
"2017bahrain","mverstappen","red bull","f1",3,89.687,2017,"bahrain",5412
"2017bahrain","nhulkenberg","renault","f1",3,89.842,2017,"bahrain",5412
"2017bahrain","rgrosjean","haas","f1",3,90.763,2017,"bahrain",5412
"2017bahrain","svettel","ferrari","f1",3,89.247,2017,"bahrain",5412
"2017bahrain","vbottas","mercedes f1","f1",3,88.769,2017,"bahrain",5412
"2017russia","csainz","toro rosso","f1",1,95.827,2017,"sochi",5848
"2017russia","dkvyat","toro rosso","f1",1,95.984,2017,"sochi",5848
"2017russia","dricciardo","red bull","f1",1,95.56,2017,"sochi",5848
"2017russia","eocon","force india","f1",1,95.372,2017,"sochi",5848
"2017russia","falonso","mclaren","f1",1,96.353,2017,"sochi",5848
"2017russia","fmassa","williams","f1",1,95.828,2017,"sochi",5848
"2017russia","jpalmer","renault","f1",1,96.462,2017,"sochi",5848
"2017russia","kmagnussen","haas","f1",1,96.408,2017,"sochi",5848
"2017russia","kraikkonen","ferrari","f1",1,94.953,2017,"sochi",5848
"2017russia","lhamilton","mercedes f1","f1",1,94.409,2017,"sochi",5848
"2017russia","lstroll","williams","f1",1,96.279,2017,"sochi",5848
"2017russia","mericsson","sauber","f1",1,97.507,2017,"sochi",5848
"2017russia","mverstappen","red bull","f1",1,95.301,2017,"sochi",5848
"2017russia","nhulkenberg","renault","f1",1,95.507,2017,"sochi",5848
"2017russia","pwehrlein","sauber","f1",1,97.332,2017,"sochi",5848
"2017russia","rgrosjean","haas","f1",1,97.62,2017,"sochi",5848
"2017russia","sperez","force india","f1",1,96.185,2017,"sochi",5848
"2017russia","svandoorne","mclaren","f1",1,97.07,2017,"sochi",5848
"2017russia","svettel","ferrari","f1",1,94.493,2017,"sochi",5848
"2017russia","vbottas","mercedes f1","f1",1,94.041,2017,"sochi",5848
"2017russia","csainz","toro rosso","f1",2,95.948,2017,"sochi",5848
"2017russia","dkvyat","toro rosso","f1",2,95.968,2017,"sochi",5848
"2017russia","dricciardo","red bull","f1",2,95.483,2017,"sochi",5848
"2017russia","eocon","force india","f1",2,95.729,2017,"sochi",5848
"2017russia","falonso","mclaren","f1",2,96.66,2017,"sochi",5848
"2017russia","fmassa","williams","f1",2,95.049,2017,"sochi",5848
"2017russia","kmagnussen","haas","f1",2,96.017,2017,"sochi",5848
"2017russia","kraikkonen","ferrari","f1",2,93.663,2017,"sochi",5848
"2017russia","lhamilton","mercedes f1","f1",2,93.76,2017,"sochi",5848
"2017russia","lstroll","williams","f1",2,95.964,2017,"sochi",5848
"2017russia","mverstappen","red bull","f1",2,95.221,2017,"sochi",5848
"2017russia","nhulkenberg","renault","f1",2,95.328,2017,"sochi",5848
"2017russia","sperez","force india","f1",2,95.513,2017,"sochi",5848
"2017russia","svettel","ferrari","f1",2,94.038,2017,"sochi",5848
"2017russia","vbottas","mercedes f1","f1",2,93.264,2017,"sochi",5848
"2017russia","dricciardo","red bull","f1",3,94.905,2017,"sochi",5848
"2017russia","eocon","force india","f1",3,95.43,2017,"sochi",5848
"2017russia","fmassa","williams","f1",3,95.11,2017,"sochi",5848
"2017russia","kraikkonen","ferrari","f1",3,93.253,2017,"sochi",5848
"2017russia","lhamilton","mercedes f1","f1",3,93.767,2017,"sochi",5848
"2017russia","mverstappen","red bull","f1",3,95.161,2017,"sochi",5848
"2017russia","nhulkenberg","renault","f1",3,95.285,2017,"sochi",5848
"2017russia","sperez","force india","f1",3,95.337,2017,"sochi",5848
"2017russia","svettel","ferrari","f1",3,93.194,2017,"sochi",5848
"2017russia","vbottas","mercedes f1","f1",3,93.289,2017,"sochi",5848
"2017spain","csainz","toro rosso","f1",1,81.941,2017,"catalunya",4655
"2017spain","dkvyat","toro rosso","f1",1,82.746,2017,"catalunya",4655
"2017spain","dricciardo","red bull","f1",1,81.704,2017,"catalunya",4655
"2017spain","eocon","force india","f1",1,81.901,2017,"catalunya",4655
"2017spain","falonso","mclaren","f1",1,82.015,2017,"catalunya",4655
"2017spain","fmassa","williams","f1",1,82.138,2017,"catalunya",4655
"2017spain","jpalmer","renault","f1",1,82.401,2017,"catalunya",4655
"2017spain","kmagnussen","haas","f1",1,81.945,2017,"catalunya",4655
"2017spain","kraikkonen","ferrari","f1",1,80.742,2017,"catalunya",4655
"2017spain","lhamilton","mercedes f1","f1",1,80.511,2017,"catalunya",4655
"2017spain","lstroll","williams","f1",1,82.411,2017,"catalunya",4655
"2017spain","mericsson","sauber","f1",1,82.332,2017,"catalunya",4655
"2017spain","mverstappen","red bull","f1",1,81.43,2017,"catalunya",4655
"2017spain","nhulkenberg","renault","f1",1,82.091,2017,"catalunya",4655
"2017spain","pwehrlein","sauber","f1",1,82.327,2017,"catalunya",4655
"2017spain","rgrosjean","haas","f1",1,81.822,2017,"catalunya",4655
"2017spain","sperez","force india","f1",1,81.998,2017,"catalunya",4655
"2017spain","svandoorne","mclaren","f1",1,82.532,2017,"catalunya",4655
"2017spain","svettel","ferrari","f1",1,80.939,2017,"catalunya",4655
"2017spain","vbottas","mercedes f1","f1",1,80.991,2017,"catalunya",4655
"2017spain","csainz","toro rosso","f1",2,81.371,2017,"catalunya",4655
"2017spain","dricciardo","red bull","f1",2,80.855,2017,"catalunya",4655
"2017spain","eocon","force india","f1",2,81.148,2017,"catalunya",4655
"2017spain","falonso","mclaren","f1",2,81.251,2017,"catalunya",4655
"2017spain","fmassa","williams","f1",2,81.222,2017,"catalunya",4655
"2017spain","kmagnussen","haas","f1",2,81.329,2017,"catalunya",4655
"2017spain","kraikkonen","ferrari","f1",2,80.621,2017,"catalunya",4655
"2017spain","lhamilton","mercedes f1","f1",2,80.21,2017,"catalunya",4655
"2017spain","mverstappen","red bull","f1",2,80.722,2017,"catalunya",4655
"2017spain","nhulkenberg","renault","f1",2,81.397,2017,"catalunya",4655
"2017spain","pwehrlein","sauber","f1",2,81.803,2017,"catalunya",4655
"2017spain","rgrosjean","haas","f1",2,81.517,2017,"catalunya",4655
"2017spain","sperez","force india","f1",2,81.239,2017,"catalunya",4655
"2017spain","svettel","ferrari","f1",2,80.295,2017,"catalunya",4655
"2017spain","vbottas","mercedes f1","f1",2,80.3,2017,"catalunya",4655
"2017spain","dricciardo","red bull","f1",3,80.175,2017,"catalunya",4655
"2017spain","eocon","force india","f1",3,81.272,2017,"catalunya",4655
"2017spain","falonso","mclaren","f1",3,81.048,2017,"catalunya",4655
"2017spain","fmassa","williams","f1",3,81.232,2017,"catalunya",4655
"2017spain","kraikkonen","ferrari","f1",3,79.439,2017,"catalunya",4655
"2017spain","lhamilton","mercedes f1","f1",3,79.149,2017,"catalunya",4655
"2017spain","mverstappen","red bull","f1",3,79.706,2017,"catalunya",4655
"2017spain","sperez","force india","f1",3,81.07,2017,"catalunya",4655
"2017spain","svettel","ferrari","f1",3,79.2,2017,"catalunya",4655
"2017spain","vbottas","mercedes f1","f1",3,79.373,2017,"catalunya",4655
"2017monaco","csainz","toro rosso","f1",1,73.526,2017,"monte carlo",3337
"2017monaco","dkvyat","toro rosso","f1",1,73.899,2017,"monte carlo",3337
"2017monaco","dricciardo","red bull","f1",1,73.219,2017,"monte carlo",3337
"2017monaco","eocon","force india","f1",1,74.101,2017,"monte carlo",3337
"2017monaco","fmassa","williams","f1",1,73.796,2017,"monte carlo",3337
